Название,Жанр,Выберите поджанр:,Какая загадка интереснее?,Временной период:,Рейтинг
Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей,Детектив,Классический детектив,Психологический,Классика (до 2000 года),8.65
Место встречи изменить нельзя,Детектив,Криминал,Классический,Классика (до 2000 года),8.926
Приключения Шерлока Холмса и доктора Ватсона: Охота на тигра,Детектив,Исторический детектив,Классический,Современное кино (2000–2020),8.431
Мальтийский сокол,Детектив,Криминал,Классический,Классика (до 2000 года),7.669
Шерлок Холмс,Детектив,Криминал,Криминальный,Современное кино (2000–2020),8.061
Проза бродячих псов. Фильм,Детектив,Криминал,Криминальный,Современное кино (2000–2020),7.697
Дело Румянцева,Детектив,Криминал,Криминальный,Классика (до 2000 года),7.961
Достать ножи 2: Стеклянная луковица,Детектив,Криминал,Психологический,Новинки (2020–2023),6.884
Шерлок: Безобразная невеста,Детектив,Криминал,Классический,Современное кино (2000–2020),8.853
